OTUNumber	OTUConTaxonomy	door_in_1	door_in_2	faucet_handle_1	faucet_handle_2	sink_floor_1	sink_floor_2	soap_dispenser_1	stall_in_1	toilet_floor_1	toilet_floor_2	toilet_flush_handle_1	toilet_flush_handle_2	toilet_seat_1	toilet_seat_2
Otu00323	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);unclassified(100);"	0	0	0	0	2	0	0	0	1	3	7	0	0	0
Otu00324	"Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);"	0	0	0	0	0	0	12	0	0	0	0	0	1	0
Otu00325	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Ralstonia(100);"	0	0	0	0	0	1	0	0	0	0	1	5	6	0
Otu00326	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcus(100);"	0	0	0	0	0	0	11	0	0	0	0	0	2	0
Otu00327	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);"	0	0	0	0	0	0	13	0	0	0	0	0	0	0
Otu00328	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);unclassified(100);unclassified(100);"	0	0	0	0	1	2	0	0	1	0	9	0	0	0
Otu00329	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Massilia(100);"	0	2	0	0	1	0	0	0	10	0	0	0	0	0
Otu00330	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Variovorax(100);"	0	0	0	0	5	1	0	0	0	2	5	0	0	0
Otu00331	"Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Leuconostoc(100);"	0	0	0	0	0	1	10	0	1	0	1	0	0	0
Otu00332	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	4	0	0	4	0	0	0	1	2	0	2	0	0
Otu00333	"Bacteria(100);Chloroflexi(100);Anaerolineae(100);Anaerolineales(100);Anaerolineaceae(100);unclassified(100);"	0	0	0	0	0	0	0	0	1	0	12	0	0	0
Otu00334	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Methylobacteriaceae(100);Methylobacterium(100);"	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Otu00335	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Rhodospirillaceae(100);Azospirillum(100);"	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Otu00336	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardiaceae(100);unclassified(100);"	0	0	0	0	3	0	0	0	1	0	6	3	0	0
Otu00337	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);"	0	4	1	0	0	0	0	0	2	0	0	1	5	0
Otu00338	"Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(93);"	0	13	0	0	0	0	0	0	0	0	0	0	0	0
Otu00339	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);unclassified(100);unclassified(100);"	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Otu00340	"Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);"	0	0	0	12	0	0	0	0	0	0	0	0	0	0
Otu00341	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Methylobacteriaceae(100);Methylobacterium(100);"	0	10	0	0	0	0	0	0	0	0	0	0	2	0
Otu00342	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	0	0	0	6	1	0	0	1	4	0	0	0	0
Otu00343	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Propionibacteriaceae(100);unclassified(100);"	0	0	0	0	1	0	0	0	10	1	0	0	0	0
Otu00344	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	0	0	0	0	0	0	0	0	0	0	1	11
Otu00345	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);unclassified(100);"	0	0	0	0	2	5	0	0	0	5	0	0	0	0
Otu00346	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	0	0	0	5	2	0	0	3	2	0	0	0	0
Otu00347	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	1	3	0	0	7	1	0	0	0	0
Otu00348	"Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagaceae(100);Hymenobacter(100);"	0	0	0	0	4	1	0	0	7	0	0	0	0	0
Otu00349	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Erythrobacteraceae(100);unclassified(100);"	0	0	0	0	0	4	0	0	0	0	8	0	0	0
Otu00350	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Duganella(84);"	5	0	0	0	0	0	0	0	3	3	1	0	0	0
Otu00351	"Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);"	0	0	0	0	3	9	0	0	0	0	0	0	0	0
Otu00352	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	0	0	0	0	0	0	0	1	0	0	6	5
Otu00353	"Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	0	0	0	0	0	0	0	0	0	12	0	0	0
Otu00354	"Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);"	11	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu00355	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	1	0	0	0	0	0	0	0	0	0	5	2	4
Otu00356	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	0	0	0	0	0	10	0	0	0	2	0	0	0
Otu00357	"Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);"	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Otu00358	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Bradyrhizobiaceae(100);unclassified(100);"	0	0	0	0	0	0	0	0	0	0	1	11	0	0
Otu00359	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Gaiellales(100);Gaiellaceae(100);Gaiella(100);"	0	0	0	0	2	2	0	0	2	1	5	0	0	0
Otu00360	"Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagaceae(100);Hymenobacter(100);"	0	0	0	0	2	6	0	0	3	1	0	0	0	0
Otu00361	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	6	0	0	0	0	6	0	0	0	0
Otu00362	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);unclassified(100);"	0	0	0	0	0	0	0	0	0	0	12	0	0	0
Otu00363	"Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	0	0	0	0	0	0	12	0	0	0	0	0	0
Otu00364	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"	0	0	0	0	2	1	0	0	0	4	5	0	0	0
Otu00365	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);unclassified(100);unclassified(100);"	0	0	0	0	1	0	0	0	0	7	0	3	0	0
Otu00366	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Varibaculum(100);"	0	0	0	0	0	0	10	0	0	0	0	0	1	0
Otu00367	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Enhydrobacter(100);"	0	0	4	0	0	1	0	0	3	2	0	0	1	0
Otu00368	"Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	0	0	1	1	2	0	0	0	2	5	0	0	0
Otu00369	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Kaistia(100);"	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Otu00370	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	2	3	0	0	4	2	0	0	0	0
Otu00371	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Massilia(100);"	0	0	0	0	3	1	0	0	0	2	0	0	5	0
Otu00372	"Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Leptotrichiaceae(100);Leptotrichia(100);"	0	7	0	0	0	0	0	0	0	0	0	4	0	0
Otu00373	"Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);unclassified(100);"	0	0	0	5	0	0	0	0	0	0	0	5	1	0
Otu00374	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingobium(100);"	0	0	0	0	0	0	0	0	0	0	2	9	0	0
Otu00375	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);unclassified(100);"	0	0	0	0	0	1	0	0	6	4	0	0	0	0
Otu00376	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Anaerococcus(100);"	0	0	0	2	0	0	0	0	0	1	0	7	0	1
Otu00377	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Dermabacteraceae(100);unclassified(100);"	0	10	0	0	0	0	0	0	1	0	0	0	0	0
Otu00378	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	1	0	3	0	0	0	0	0	0	0	3	2	2
Otu00379	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	0	7	0	0	0	0	0	0	0	3	0	1
Otu00380	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);"	0	0	0	0	1	1	0	6	0	0	0	0	1	2
Otu00381	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(91);Microbacterium(91);"	0	0	0	0	0	1	0	0	2	1	7	0	0	0
Otu00382	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);"	4	0	3	0	0	0	0	0	3	0	1	0	0	0
Otu00383	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);"	0	0	0	0	0	0	8	0	0	1	0	0	0	2
Otu00384	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);unclassified(100);"	0	8	0	0	1	0	0	0	0	2	0	0	0	0
Otu00385	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rubellimicrobium(100);"	0	1	0	0	3	2	0	0	4	1	0	0	0	0
Otu00386	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(82);"	0	0	0	0	1	0	5	0	1	3	1	0	0	0
Otu00387	"Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);unclassified(100);unclassified(100);"	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00388	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Dermacoccaceae(100);Dermacoccus(100);"	2	6	0	0	0	0	0	0	1	2	0	0	0	0
Otu00389	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	2	5	0	0	4	0	0	0	0	0
Otu00390	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Rhodospirillaceae(100);Novispirillum(100);"	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Otu00391	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Otu00392	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);unclassified(90);"	8	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu00393	"Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(100);"	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Otu00394	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinobaculum(100);"	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Otu00395	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Atopobium(100);"	2	0	0	0	1	0	7	0	0	0	0	0	0	0
Otu00396	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Achromobacter(100);"	0	0	0	3	0	0	0	0	0	0	0	0	7	0
Otu00397	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Marmoricola(100);"	0	0	0	0	5	0	0	0	2	3	0	0	0	0
Otu00398	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Paracoccus(100);"	0	0	0	0	1	3	0	0	1	1	0	3	1	0
Otu00399	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);"	7	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu00400	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Kocuria(100);"	0	0	1	0	2	2	0	0	1	0	0	0	4	0
Otu00401	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rubellimicrobium(100);"	0	0	0	0	2	0	0	0	0	0	8	0	0	0
Otu00402	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Kocuria(100);"	0	8	0	0	1	0	0	0	0	1	0	0	0	0
Otu00403	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);"	0	0	0	0	1	0	0	0	0	2	1	0	4	2
Otu00404	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Clostridium_XI(80);"	0	6	0	0	0	0	0	0	0	0	0	0	1	3
Otu00405	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	0	0	0	2	0	0	0	1	0	3	4	0	0
Otu00406	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Pseudoxanthomonas(100);"	0	0	0	0	2	3	0	0	0	1	0	0	3	1
Otu00407	"Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Flavobacterium(100);"	0	0	0	0	0	0	0	0	0	0	10	0	0	0
Otu00408	"Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	0	0	0	9	0	0	0	1	0	0	0	0	0
Otu00409	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Otu00410	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Cellulomonadaceae(100);Cellulomonas(100);"	0	0	0	0	3	1	0	0	1	5	0	0	0	0
Otu00411	"Bacteria(100);Proteobacteria(100);unclassified(90);unclassified(90);unclassified(90);unclassified(90);"	0	0	0	0	0	0	0	0	0	0	6	0	4	0
Otu00412	"Bacteria(100);Proteobacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Otu00413	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	0	0	0	2	1	0	0	5	2	0	0	0	0
Otu00414	"Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Chitinophagaceae(100);Lacibacter(100);"	0	0	2	0	0	0	0	0	0	0	0	8	0	0
Otu00415	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	1	0	0	0	6	3	0	0	0	0
Otu00416	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	5	0	0	0	1	2	1	0	1	0
Otu00417	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Beijerinckiaceae(100);Chelatococcus(100);"	3	0	4	3	0	0	0	0	0	0	0	0	0	0
Otu00418	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Rhodospirillaceae(100);Skermanella(100);"	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Otu00419	"Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Otu00420	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	1	5	0	0	0	1	3	0	0	0
Otu00421	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Peptoniphilus(100);"	0	0	0	0	2	0	0	0	0	0	0	6	2	0
Otu00422	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);unclassified(100);unclassified(100);"	0	0	0	0	1	0	7	0	0	0	2	0	0	0
Otu00423	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);unclassified(100);"	0	9	0	0	0	0	0	0	1	0	0	0	0	0
Otu00424	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	0	0	0	2	6	0	0	0	2	0	0	0	0
Otu00425	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);Leifsonia(100);"	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Otu00426	"Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Pedobacter(100);"	0	0	0	0	0	1	0	0	1	0	8	0	0	0
Otu00427	"Bacteria(100);Proteobacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Otu00428	"Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagaceae(100);Hymenobacter(100);"	0	0	0	0	2	3	0	0	5	0	0	0	0	0
Otu00429	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(90);unclassified(90);unclassified(90);"	0	0	0	0	0	2	0	0	0	4	4	0	0	0
Otu00430	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Acidimicrobiales(100);Acidimicrobiaceae(100);Ilumatobacter(100);"	0	0	0	0	0	0	0	0	0	2	8	0	0	0
Otu00431	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingopyxis(100);"	0	0	0	0	0	0	0	0	0	1	0	8	0	0
Otu00432	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	6	0	0	0	1	0	0	0	2	0	0	0	0	0
Otu00433	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Nocardioides(100);"	0	0	0	0	3	1	0	0	0	1	2	0	2	0
Otu00434	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Pseudonocardiaceae(100);Actinomycetospora(100);"	0	0	0	0	0	4	0	0	2	1	0	2	0	0
Otu00435	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);unclassified(100);"	0	7	0	0	0	0	0	0	1	0	1	0	0	0
Otu00436	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Bradyrhizobiaceae(100);Bosea(100);"	0	0	2	0	0	0	0	0	0	0	0	7	0	0
Otu00437	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Methylobacteriaceae(100);Methylobacterium(100);"	0	0	1	0	0	2	0	1	3	0	2	0	0	0
Otu00438	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Diaphorobacter(100);"	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Otu00439	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00440	"Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Carnobacteriaceae(100);Granulicatella(100);"	2	2	2	0	0	0	0	0	1	0	0	0	0	2
Otu00441	"Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);"	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Otu00442	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Geodermatophilaceae(100);unclassified(100);"	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Otu00443	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	0	0	0	2	4	0	0	0	3	0	0	0	0
Otu00444	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nocardioidaceae(100);Nocardioides(100);"	0	0	0	0	0	0	0	0	1	1	5	0	2	0
Otu00445	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);unclassified(100);"	2	0	1	0	1	3	2	0	0	0	0	0	0	0
Otu00446	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);unclassified(100);"	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Otu00447	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Acetobacteraceae(100);unclassified(100);"	0	0	2	0	1	0	0	0	0	4	2	0	0	0
Otu00448	"Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);"	4	0	0	2	0	0	0	0	3	0	0	0	0	0
Otu00449	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);unclassified(100);unclassified(100);"	0	0	0	0	1	2	0	0	2	2	2	0	0	0
Otu00450	"Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Pedobacter(100);"	0	6	0	0	2	0	0	0	0	0	0	0	0	1
Otu00451	"Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);unclassified(89);"	0	0	0	0	1	0	0	0	4	1	3	0	0	0
Otu00452	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	0	0	7	0	0	0	0	0	0	0	0	0	2
Otu00453	"Bacteria(100);Firmicutes(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	0	0	0	0	0	0	0	1	1	0	0	2	5
Otu00454	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Mycobacteriaceae(89);Mycobacterium(89);"	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Otu00455	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	0	0	0	0	1	0	0	0	0	0	5	0	3	0
Otu00456	"Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);unclassified(100);unclassified(100);"	0	6	1	2	0	0	0	0	0	0	0	0	0	0
Otu00457	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Nakamurellaceae(100);Nakamurella(100);"	0	0	0	0	0	0	0	0	1	0	8	0	0	0
Otu00458	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);unclassified(100);"	0	0	0	0	1	1	0	0	0	0	7	0	0	0
Otu00459	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Enhydrobacter(100);"	0	0	2	0	4	0	0	0	0	2	0	0	1	0
Otu00460	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);unclassified(100);unclassified(100);"	0	0	0	0	0	3	0	0	2	1	3	0	0	0
Otu00461	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);Leifsonia(100);"	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Otu00462	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);unclassified(100);"	0	0	0	0	2	0	0	0	0	1	5	0	0	0
Otu00463	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);unclassified(100);"	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Otu00464	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Methylophilales(100);Methylophilaceae(100);Methylobacillus(100);"	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Otu00465	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"	0	4	0	0	1	0	0	0	1	2	0	0	0	0
Otu00466	"Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);"	5	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu00467	"Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	0	5	0	0	0	1	0	0	0	0	2	0	0	0
